,day,CP Price,BAYC Price
355,2017-12-22 00:00:00.000,0.099999999999999,
356,2017-12-23 00:00:00.000,0.099999999999999,
357,2017-12-24 00:00:00.000,0.112499999999999,
358,2017-12-25 00:00:00.000,0.116666666666666,
359,2017-12-26 00:00:00.000,0.33333333333333304,
360,2017-12-27 00:00:00.000,0.33333333333333304,
361,2017-12-28 00:00:00.000,0.31666666666666604,
362,2017-12-29 00:00:00.000,0.23750000000001,
363,2017-12-30 00:00:00.000,0.066666666666681,
364,2017-12-31 00:00:00.000,0.05000000000002101,
365,2018-01-01 00:00:00.000,0.05000000000002101,
366,2018-01-02 00:00:00.000,0.10999999999999902,
367,2018-01-03 00:00:00.000,0.106333333333332,
368,2018-01-04 00:00:00.000,0.10474999999999901,
369,2018-01-05 00:00:00.000,0.106333333333332,
370,2018-01-06 00:00:00.000,0.099499999999999,
371,2018-01-07 00:00:00.000,0.114999999999999,
372,2018-01-08 00:00:00.000,0.10999999999999902,
373,2018-01-09 00:00:00.000,0.099999999999999,
374,2018-01-10 00:00:00.000,0.097499999999999,
375,2018-01-11 00:00:00.000,0.084999999999999,
376,2018-01-12 00:00:00.000,0.077499999999999,
377,2018-01-13 00:00:00.000,0.082499999999999,
378,2018-01-14 00:00:00.000,0.084999999999999,
379,2018-01-15 00:00:00.000,0.08999999999999901,
380,2018-01-16 00:00:00.000,0.097499999999999,
381,2018-01-17 00:00:00.000,0.129999999999999,
382,2018-01-18 00:00:00.000,0.127499999999999,
383,2018-01-19 00:00:00.000,0.127499999999999,
384,2018-01-20 00:00:00.000,0.129999999999999,
385,2018-01-21 00:00:00.000,0.09666666666666601,
386,2018-01-22 00:00:00.000,0.133333333333333,
387,2018-01-23 00:00:00.000,0.133333333333333,
388,2018-01-24 00:00:00.000,0.133333333333333,
389,2018-01-25 00:00:00.000,0.133333333333333,
390,2018-01-26 00:00:00.000,0.11333333333333301,
391,2018-01-27 00:00:00.000,0.11999999999999901,
392,2018-01-28 00:00:00.000,0.169999999999999,
393,2018-01-29 00:00:00.000,0.146666666666666,
394,2018-01-30 00:00:00.000,0.14999999999999902,
395,2018-01-31 00:00:00.000,0.14999999999999902,
396,2018-02-01 00:00:00.000,0.08999999999999901,
397,2018-02-02 00:00:00.000,0.064999999999999,
398,2018-02-03 00:00:00.000,0.073333333333333,
399,2018-02-04 00:00:00.000,0.079999999999999,
400,2018-02-05 00:00:00.000,0.097499999999999,
401,2018-02-06 00:00:00.000,0.11333333333333301,
402,2018-02-07 00:00:00.000,0.12499999999999901,
403,2018-02-08 00:00:00.000,0.24999999999999903,
404,2018-02-09 00:00:00.000,0.21999999999999903,
405,2018-02-10 00:00:00.000,0.21999999999999903,
406,2018-02-11 00:00:00.000,0.199999999999999,
407,2018-02-12 00:00:00.000,0.12499999999999901,
408,2018-02-13 00:00:00.000,0.159999999999999,
409,2018-02-14 00:00:00.000,0.159999999999999,
411,2018-02-16 00:00:00.000,0.099999999999999,
412,2018-02-17 00:00:00.000,0.099999999999999,
413,2018-02-18 00:00:00.000,0.094999999999999,
414,2018-02-19 00:00:00.000,0.094999999999999,
415,2018-02-20 00:00:00.000,0.08999999999999901,
416,2018-02-21 00:00:00.000,0.08999999999999901,
